Username	CourseID	SecName	ADate	P_A
22S5006	HE3038	A	2023-03-21	P
20S5373	QL9127	A	2023-03-15	P
20S5373	TB7363	A	2023-03-11	A
23S6713	PB8866	A	2023-04-07	P
23S4647	ZE7137	A	2023-03-31	P
22S5006	FG5012	A	2023-03-02	P
20S6607	HM9533	A	2023-02-23	P
21S2865	VB6869	A	2023-04-21	A
21S2865	XZ4200	A	2023-03-30	P
23S4647	HI4031	A	2023-04-10	P
21S2865	NF8700	A	2023-04-13	A
23S6713	ZD5046	A	2023-03-17	A
21S2865	IA9637	A	2023-03-09	A
18S7140	GD3232	A	2023-03-02	A
23S6713	DJ5442	A	2023-04-25	A
20S5373	NF6113	A	2023-03-20	A
21S4328	KB9592	A	2023-04-22	P
21S2865	HY8097	A	2023-03-12	A
23S4647	KY7116	A	2023-04-19	A
21S4328	OA1924	A	2023-03-10	A
21S2523	YQ1346	A	2023-02-20	P
20S5373	SG8335	A	2023-03-30	P
18S7140	WC1447	A	2023-02-21	A
23S6713	OA2651	A	2023-04-15	A
23S4647	LB8862	A	2023-02-25	A
23S6713	CZ7791	A	2023-03-26	A
21S2523	OJ3384	A	2023-02-08	A
18S7140	BP6801	A	2023-04-09	A
21S4328	IR1277	A	2023-03-25	A
20S6607	RX1312	A	2023-04-19	A
21S2865	NR2215	A	2023-02-08	A
23S6713	YU6424	A	2023-02-20	P
23S6713	LC2710	A	2023-03-27	P
18S7140	LU3423	A	2023-04-07	P
22S5006	KW5945	A	2023-04-17	P
21S2523	WC6941	A	2023-03-08	A
21S2865	PC1416	A	2023-04-16	P
20S5373	RB1015	A	2023-04-17	P
23S4647	CO1531	A	2023-02-14	P
20S5373	HE3038	B	2023-03-19	P
20S5373	QL9127	B	2023-05-02	P
20S6607	TB7363	B	2023-02-18	A
20S5373	PB8866	B	2023-03-22	P
22S5006	ZE7137	B	2023-03-02	P
23S4647	FG5012	B	2023-04-12	P
23S4647	HM9533	B	2023-03-05	P
21S4328	VB6869	B	2023-04-17	A
18S7140	XZ4200	B	2023-04-06	A
22S5006	HI4031	B	2023-04-12	P
23S6713	HE3038	A	2023-02-11	A
20S5373	QL9127	A	2023-03-22	P
21S2523	TB7363	A	2023-04-27	A
22S5006	PB8866	A	2023-03-21	A
20S5373	ZE7137	A	2023-03-30	P
23S6713	FG5012	A	2023-04-22	A
23S6713	HM9533	A	2023-03-13	A
18S7140	VB6869	A	2023-03-03	P
23S4647	XZ4200	A	2023-04-21	A
18S7140	HI4031	A	2023-03-26	A
20S6607	NF8700	A	2023-04-02	A
18S7140	ZD5046	A	2023-02-20	A
20S5373	IA9637	A	2023-04-04	P
21S2865	GD3232	A	2023-02-27	P
21S2865	DJ5442	A	2023-02-09	A
21S2865	NF6113	A	2023-02-20	A
18S7140	KB9592	A	2023-04-27	A
21S2523	HY8097	A	2023-03-05	P
23S4647	KY7116	A	2023-04-14	A
23S6713	OA1924	A	2023-03-09	A
23S6713	YQ1346	A	2023-02-19	A
21S2865	SG8335	A	2023-04-03	A
23S4647	WC1447	A	2023-02-15	P
23S6713	OA2651	A	2023-03-14	A
21S2523	LB8862	A	2023-03-15	A
